date,ticker,asset_class,close,currency
2020-09-03,EUNL.DE,ETF,55.72999954223633,EUR
2020-09-04,EUNL.DE,ETF,54.57799911499024,EUR
2020-09-08,EUNL.DE,ETF,54.43199920654297,EUR
2020-09-09,EUNL.DE,ETF,55.05199813842773,EUR
2020-09-10,EUNL.DE,ETF,54.79999923706055,EUR
2020-09-11,EUNL.DE,ETF,54.3759994506836,EUR
2020-09-14,EUNL.DE,ETF,54.87200164794922,EUR
2020-09-15,EUNL.DE,ETF,55.35200119018555,EUR
2020-09-16,EUNL.DE,ETF,55.55400085449219,EUR
2020-09-17,EUNL.DE,ETF,54.77199935913086,EUR
2020-09-18,EUNL.DE,ETF,54.33000183105469,EUR
2020-09-21,EUNL.DE,ETF,53.22200012207031,EUR
2020-09-22,EUNL.DE,ETF,53.81999969482422,EUR
2020-09-23,EUNL.DE,ETF,54.242000579833984,EUR
2020-09-24,EUNL.DE,ETF,53.5880012512207,EUR
2020-09-25,EUNL.DE,ETF,54.0,EUR
2020-09-28,EUNL.DE,ETF,55.08000183105469,EUR
2020-09-29,EUNL.DE,ETF,54.652000427246094,EUR
2020-09-30,EUNL.DE,ETF,54.96799850463867,EUR
2020-10-01,EUNL.DE,ETF,55.06999969482422,EUR
2020-10-02,EUNL.DE,ETF,54.88199996948242,EUR
2020-10-05,EUNL.DE,ETF,55.2400016784668,EUR
2020-10-06,EUNL.DE,ETF,55.39799880981445,EUR
2020-10-07,EUNL.DE,ETF,55.50600051879883,EUR
2020-10-08,EUNL.DE,ETF,56.0,EUR
2020-10-09,EUNL.DE,ETF,56.18999862670898,EUR
2020-10-12,EUNL.DE,ETF,56.93999862670898,EUR
2020-10-13,EUNL.DE,ETF,57.141998291015625,EUR
2020-10-14,EUNL.DE,ETF,56.91400146484375,EUR
2020-10-15,EUNL.DE,ETF,56.290000915527344,EUR
2020-10-16,EUNL.DE,ETF,56.83000183105469,EUR
2020-10-19,EUNL.DE,ETF,56.30400085449219,EUR
2020-10-20,EUNL.DE,ETF,55.678001403808594,EUR
2020-10-21,EUNL.DE,ETF,55.43000030517578,EUR
2020-10-22,EUNL.DE,ETF,55.417999267578125,EUR
2020-10-23,EUNL.DE,ETF,55.61800003051758,EUR
2020-10-26,EUNL.DE,ETF,54.75,EUR
2020-10-27,EUNL.DE,ETF,54.75,EUR
2020-10-28,EUNL.DE,ETF,53.54600143432617,EUR
2020-10-29,EUNL.DE,ETF,53.93600082397461,EUR
2020-10-30,EUNL.DE,ETF,53.459999084472656,EUR
2020-11-02,EUNL.DE,ETF,54.27199935913086,EUR
2020-11-03,EUNL.DE,ETF,55.19200134277344,EUR
2020-11-04,EUNL.DE,ETF,56.400001525878906,EUR
2020-11-05,EUNL.DE,ETF,56.79399871826172,EUR
2020-11-06,EUNL.DE,ETF,56.48799896240234,EUR
2020-11-09,EUNL.DE,ETF,58.49599838256836,EUR
2020-11-10,EUNL.DE,ETF,57.68999862670898,EUR
2020-11-11,EUNL.DE,ETF,58.4900016784668,EUR
2020-11-12,EUNL.DE,ETF,58.0,EUR
2020-11-13,EUNL.DE,ETF,57.97200012207031,EUR
2020-11-16,EUNL.DE,ETF,58.858001708984375,EUR
2020-11-17,EUNL.DE,ETF,58.65800094604492,EUR
2020-11-18,EUNL.DE,ETF,58.8120002746582,EUR
2020-11-19,EUNL.DE,ETF,58.25600051879883,EUR
2020-11-20,EUNL.DE,ETF,58.53400039672852,EUR
2020-11-23,EUNL.DE,ETF,58.48600006103516,EUR
2020-11-24,EUNL.DE,ETF,59.29999923706055,EUR
2020-11-25,EUNL.DE,ETF,59.14599990844727,EUR
2020-11-27,EUNL.DE,ETF,59.22600173950195,EUR
2020-11-30,EUNL.DE,ETF,58.5880012512207,EUR
2020-12-01,EUNL.DE,ETF,59.152000427246094,EUR
2020-12-02,EUNL.DE,ETF,58.83200073242188,EUR
2020-12-03,EUNL.DE,ETF,58.8380012512207,EUR
2020-12-04,EUNL.DE,ETF,59.19400024414063,EUR
2020-12-07,EUNL.DE,ETF,59.16600036621094,EUR
2020-12-08,EUNL.DE,ETF,59.36000061035156,EUR
2020-12-09,EUNL.DE,ETF,59.50199890136719,EUR
2020-12-10,EUNL.DE,ETF,59.13399887084961,EUR
2020-12-11,EUNL.DE,ETF,58.73199844360352,EUR
2020-12-14,EUNL.DE,ETF,59.07600021362305,EUR
2020-12-15,EUNL.DE,ETF,58.9900016784668,EUR
